row	T	q	m_target	k	t_exact	t_float	alpha_float	X_order	tr_X	vf_orbit_finite	vf_group_order	vf_structure	gamma_finite	gamma_order	relations	ip	defect	fvec_coset	fvec_geom	directly_regular	faithful	skeletal	geom_chiral	verdict
9	{3,5/2,5}	5	3	1	-1/2	-0.5	-1.6180339887498949	3	1	true	60	A5	true	7200	true	false	2	[ 120, 1200, 180, 6 ]	-	false	-	-	-	REJECTED: intersection condition fails (defect 2)
9	{3,5/2,5}	5	3	1	-1	-1.	-0.44721359549995798	3	1	true	60	A5	true	7200	true	false	2	[ 120, 1200, 180, 6 ]	-	false	-	-	-	REJECTED: intersection condition fails (defect 2)
9	{3,5/2,5}	5	3	1	3/2*E(5)+1/2*E(5)^2+1/2*E(5)^3+3/2*E(5)^4	0.11803398874989462	0.72360679774997894	3	1	true	60	A5	true	7200	true	false	2	[ 120, 1200, 180, 6 ]	-	false	-	-	-	REJECTED: intersection condition fails (defect 2)
9	{3,5/2,5}	5	5	1	1/2*E(5)+1/4*E(5)^2+1/4*E(5)^3+1/2*E(5)^4	-0.095491502812526358	1.4472135954999579	5	-E(5)-2*E(5)^2-2*E(5)^3-E(5)^4	true	60	A5	true	7200	true	false	2	[ 120, 720, 180, 6 ]	-	false	-	-	-	REJECTED: intersection condition fails (defect 2)
9	{3,5/2,5}	5	5	1	1/2*E(5)+1/2*E(5)^4	0.30901699437494734	0.5	5	-E(5)-2*E(5)^2-2*E(5)^3-E(5)^4	true	60	A5	true	7200	true	false	2	[ 120, 720, 180, 6 ]	-	false	-	-	-	REJECTED: intersection condition fails (defect 2)
9	{3,5/2,5}	5	5	1	-1/2*E(5)-1/2*E(5)^4	-0.30901699437494734	infinity	5	-E(5)-2*E(5)^2-2*E(5)^3-E(5)^4	true	60	A5	true	7200	true	false	2	[ 120, 720, 180, 6 ]	-	false	-	-	-	REJECTED: intersection condition fails (defect 2)
9	{3,5/2,5}	5	inf	-	infinity	infinity	0.	5	-E(5)-2*E(5)^2-2*E(5)^3-E(5)^4	true	60	A5	true	7200	true	false	2	[ 120, 720, 180, 6 ]	-	false	-	-	-	REJECTED: intersection condition fails (defect 2)
10	{5/2,5,5/2}	5	2	1	1/2*E(5)+1/2*E(5)^4	0.30901699437494734	0.5	2	0	true	fail	-	-	-	-	-	-	-	-	-	-	-	-	REJECTED: ord(X) < 3 (degenerate)
10	{5/2,5,5/2}	5	2	1	-1/2*E(5)-1/2*E(5)^4	-0.30901699437494734	infinity	2	0	true	10	D10	-	-	-	-	-	-	-	-	-	-	-	REJECTED: ord(X) < 3 (degenerate)
10	{5/2,5,5/2}	5	5	2	0	0.	1.	5	-2*E(5)-E(5)^2-E(5)^3-2*E(5)^4	true	60	A5	true	7200	true	false	12	[ 120, 720, 240, 1 ]	-	false	-	-	-	REJECTED: intersection condition fails (defect 12)
10	{5/2,5,5/2}	5	5	2	-1/2	-0.5	-1.6180339887498949	5	-2*E(5)-E(5)^2-E(5)^3-2*E(5)^4	true	60	A5	true	7200	true	false	12	[ 120, 720, 240, 1 ]	-	false	-	-	-	REJECTED: intersection condition fails (defect 12)
10	{5/2,5,5/2}	5	5	2	E(5)+1/2*E(5)^2+1/2*E(5)^3+E(5)^4	-0.19098300562505272	2.6180339887498949	5	-2*E(5)-E(5)^2-E(5)^3-2*E(5)^4	true	60	A5	true	7200	true	false	12	[ 120, 720, 240, 1 ]	-	false	-	-	-	REJECTED: intersection condition fails (defect 12)
10	{5/2,5,5/2}	5	inf	-	infinity	infinity	0.	5	-2*E(5)-E(5)^2-E(5)^3-2*E(5)^4	true	60	A5	true	7200	true	false	12	[ 120, 720, 240, 1 ]	-	false	-	-	-	REJECTED: intersection condition fails (defect 12)
