case	T	alpha	alpha_float	fvector	norm_w2	norm_w2_float	gamma_order	gen_dets	class_raw_unoriented	class_raw_oriented	class_scalefree_unoriented	class_scalefree_oriented	cf_raw_unoriented_sha256	cf_raw_oriented_sha256	cf_scalefree_unoriented_sha256	cf_scalefree_oriented_sha256	min_basis_sf	n_min_bases_sf	oriented_sign_sf
L3-{5,3,5/2}-5	{5,3,5/2}	-E(40)^7+E(40)^8+E(40)^13-E(40)^23+E(40)^32+E(40)^37	1.492066037648	(48,144,48,8)	20-8*E(40)-8*E(40)^3-5*E(40)^5+8*E(40)^7+12*E(40)^8-8*E(40)^9-12*E(40)^12+13*E(40)^15	2.039375162967	1152	+++	11	11	6	6	71d7b4053f893862800e7aec0e00bb7863994cc2bf68c25bdac8a821c969af32	cb0febc000e0f3c88ccf98425ba1b6a052d51f35bb9003710501d8a16473c3bb	67ff56efc617547dafa48f0478e33d6c6bdfd6414e9e76f1b9abdbd385c9c947	40785c00114b5641decbbfcf3f187a9b8731bbbee0a90c3e87674ec10ea5b791	(0,1,3,8)	24	+1
L3-{5,3,5/2}-6	{5,3,5/2}	E(40)^7+E(40)^8-E(40)^13+E(40)^23+E(40)^32-E(40)^37	-0.255998060148	(48,144,48,8)	20+8*E(40)+8*E(40)^3+5*E(40)^5-8*E(40)^7+12*E(40)^8+8*E(40)^9-12*E(40)^12-13*E(40)^15	52.793440567030	1152	+++	12	12	7	7	50be91f4fe7ba730456eafc9825d56449a103c4ce3f4ced86dc9070ffc5cc86c	5779063e93b7cc9075b71b21657f22961afc36300ef79383f851d3e526e16fc0	295bfbbec01b2bd23a699e2e0e6450b63c9f28149a3107760be2a48ea7ee8658	a07ecf743b16039359e02d182dfa2daa25e829f403c9d73556c20435c8adbbce	(0,1,3,4)	24	+1
L3-{5,3,5/2}-7	{5,3,5/2}	-E(40)^8-2*E(40)^16+E(40)^21-2*E(40)^24+E(40)^29-E(40)^31-E(40)^32-E(40)^39	0.329788377479	(48,144,48,8)	8+3*E(40)+3*E(40)^3+E(40)^5-3*E(40)^7+4*E(40)^8+3*E(40)^9-4*E(40)^12-4*E(40)^15	18.751086351185	1152	+++	13	13	7	7	67e5367aeebb47a12bfcc8255ca18816917fd0c3395e95d555c52f76514e4f34	f17f9d263d11b4d21b6aea869be2ad0b5766e7ab7566d5e743e89255e84db13c	295bfbbec01b2bd23a699e2e0e6450b63c9f28149a3107760be2a48ea7ee8658	a07ecf743b16039359e02d182dfa2daa25e829f403c9d73556c20435c8adbbce	(0,1,3,8)	24	+1
L3-{5,3,5/2}-8	{5,3,5/2}	-E(40)^8-2*E(40)^16-E(40)^21-2*E(40)^24-E(40)^29+E(40)^31-E(40)^32+E(40)^39	4.906279600021	(48,144,48,8)	8-3*E(40)-3*E(40)^3-E(40)^5+3*E(40)^7+4*E(40)^8-3*E(40)^9-4*E(40)^12+4*E(40)^15	2.193185558814	1152	+++	14	14	6	6	ca476e7825238ec216d28317f69ebdb35fa48234c8227b27241567ae65022253	9abd63b679c412270a3b13e9dbb627b283f8a960f2b705ef49264beabb136cf0	67ff56efc617547dafa48f0478e33d6c6bdfd6414e9e76f1b9abdbd385c9c947	40785c00114b5641decbbfcf3f187a9b8731bbbee0a90c3e87674ec10ea5b791	(0,1,3,4)	24	+1
L3-{5,3,5/2}-9	{5,3,5/2}	1	1.000000000000	(120,720,300,50)	2+E(40)^8-E(40)^12	2.618033988750	7200	+++	15	15	8	8	5819b2a2191cd0231c68f9be6d1dd70c1744596125a3b15c83d12e3e6376ad23	57de01e8229e48974e6e402e69afaa73ecb3a5054d9739e7a3bfc55637cc10cd	34426dbdc4174663d42b94b2793297bf6e77dea62782dec2e8a392e30f32c972	0fce2f1293931006db5be519f443ebdb6249ec6fba97a464673b3b093ebd0bce	(0,1,10,49)	60	+1
L3-{5,3,5/2}-10	{5,3,5/2}	-1	-1.000000000000	(120,720,300,50)	6+3*E(40)^8-3*E(40)^12	7.854101966250	7200	+++	16	16	9	9	3177306029ba7fbb58f370b510c74ba11d61a9d38d723821a14608d40c118f91	7c0362cb354626f3af7426c4306784cb199f7bfc6425918dcf287116360bde5f	45038a2518c29c2d7644f52b9fcb768cdf776b00b1ca2ef6da6960789bff8f47	fdcf4d2ac8175bd2902b061c4443efc5c8663b26f4502973ce9b17e6bb9d20b5	(0,1,10,89)	60	-1
L3-{5,3,5/2}-11	{5,3,5/2}	E(5)+E(5)^4	0.618033988750	(120,720,300,50)	4+2*E(40)^8-2*E(40)^12	5.236067977500	7200	+++	17	17	9	9	012a676a92986631b97a32eb8a25f279e2e9aa10f28f82a98e9a0c16ffb5df3f	c84e5d0da3e80816a84b25e80f9d7121696a09e0df76f8168258f9f7178a0d4c	45038a2518c29c2d7644f52b9fcb768cdf776b00b1ca2ef6da6960789bff8f47	fdcf4d2ac8175bd2902b061c4443efc5c8663b26f4502973ce9b17e6bb9d20b5	(0,1,10,90)	60	-1
L3-{5,3,5/2}-12	{5,3,5/2}	E(5)+4*E(5)^2+4*E(5)^3+E(5)^4	-5.854101966250	(120,720,300,50)	12/5+6/5*E(40)^8-6/5*E(40)^12	3.141640786500	7200	+++	18	18	8	8	8499a906dc51446d66272e4032482d3a99adab9f329679ce2ed34cd92a3c1b85	abc04324b39ed895877d4b222b962d7f5637b528e62eb0332c9d74d1af40465a	34426dbdc4174663d42b94b2793297bf6e77dea62782dec2e8a392e30f32c972	0fce2f1293931006db5be519f443ebdb6249ec6fba97a464673b3b093ebd0bce	(0,1,10,81)	60	+1
L3-{5,3,5/2}-13	{5,3,5/2}	2	2.000000000000	(120,720,300,50)	3/2+3/4*E(40)^8-3/4*E(40)^12	1.963525491562	7200	+++	19	19	10	10	2b4bdae0acab48b995c8ec29fe21f58a569afd1c03f8c85fa374de06bfcd0007	6d370acb0b1bb29113e346c4db995062ddcbe10de196c68f9e0d7267e76ee97b	2ffd0c0248c55c540625a378bbc3394dfcb420f51c12ee0ce2130ac311662f77	96ad39d2198081d4d30781854c7ab2eaf987d96e4569ccbb9bacb74c43069e48	(0,1,3,8)	60	+1
L3-{5,3,5/2}-14	{5,3,5/2}	-E(5)-2*E(5)^2-2*E(5)^3-E(5)^4	2.618033988750	(120,720,300,50)	2	2.000000000000	7200	+++	20	20	10	10	2ca422f0ace4f186d0141e6faa9241f84cdc94dbb79428ea1f30c47b289eb4b8	bd3139a67f1dd43737e388aaea26d7a3ad41997bec409c88ee755dc29750680c	2ffd0c0248c55c540625a378bbc3394dfcb420f51c12ee0ce2130ac311662f77	96ad39d2198081d4d30781854c7ab2eaf987d96e4569ccbb9bacb74c43069e48	(0,1,3,4)	60	+1
L3-{5,3,5/2}-15	{5,3,5/2}	-5*E(5)-2*E(5)^2-2*E(5)^3-5*E(5)^4	0.145898033750	(120,720,300,50)	78+48*E(40)^8-48*E(40)^12	107.665631459995	7200	+++	21	21	11	11	7dead18c4e6ac14c74801455090a2fcefb065568878751bea99a9ed538d72783	dd946c14eb19672f194e6de21f02c4ecce16960d307e7573246223bb3d112048	4e85f3cc2178faf50734072f0a934bc5d553c5c0328492150de04b2ef360a878	88ef250f75e44eaee9b6522a981ccbc514bf906616b66948221c731e12bd0daa	(0,1,3,8)	60	+1
L3-{5,3,5/2}-16	{5,3,5/2}	0	0.000000000000	(120,720,300,50)	8+4*E(40)^8-4*E(40)^12	10.472135955000	7200	+++	22	22	11	11	0f6ada78b431e9fce8c45c38b574992167a97d861210a7d23ee1d9d9e871680d	77990c036b0a0ce48c2f72bdb7d4f8c1f3399429eecfb264148db9737393eda9	4e85f3cc2178faf50734072f0a934bc5d553c5c0328492150de04b2ef360a878	88ef250f75e44eaee9b6522a981ccbc514bf906616b66948221c731e12bd0daa	(0,1,3,4)	60	+1
L3-{3,3,5/2}-1	{3,3,5/2}	1	1.000000000000	(600,1200,120,5)	5/2-4*E(40)^8+4*E(40)^12	0.027864045000	7200	+++	23	23	12	12	9b6689beb61121075ef0feab4ee5604cbd80bb696d7c9622ea9419f3959c2038	f7b446bca92aa9b62a99d46d5813dbc13023109e69a76a41165b518f11f6448c	f18917876a3befe6c0b87834244e75d933ee73395f9cb3666f6ac28657375dbc	cb3214f16e246d60fe1b5119050ce1ed827306f2c7442295019bd49bc4179156	(0,1,3,4)	12	+1
L3-{3,3,5/2}-4	{3,3,5/2}	-E(40)^7+E(40)^13+2*E(40)^16+2*E(40)^21-E(40)^23+2*E(40)^24+2*E(40)^29-2*E(40)^31+E(40)^37-2*E(40)^39	-6.938527151144	(600,1200,120,5)	5-8*E(40)^8+8*E(40)^12	0.055728090001	7200	+++	24	24	12	12	d6ad4d90dc98ba11cd812a408259ddf9ad9594221b284e000e24b957f43b96fe	a6954f1fc61bf6979a2fa6c0590f6ef08e83df811394118fb2e2d2ffd6b02edd	f18917876a3befe6c0b87834244e75d933ee73395f9cb3666f6ac28657375dbc	cb3214f16e246d60fe1b5119050ce1ed827306f2c7442295019bd49bc4179156	(0,1,3,8)	12	+1
