case_a	case_b	fvector	lambda	even_passes	odd_passes	even_det_sign	odd_det_sign	triple_orientation_of_passing_candidate	exhaustive_tuples	exhaustive_similarities	exhaustive_det_signs	verdict	even_image_orbit	odd_image_orbit	similarity_cosets	order_Gamma_b
L3-{5,3,5/2}-1	L3-{5,3,5/2}-4	(240,480,120,20)	1/3*E(40)^7-5/6*E(40)^8-1/3*E(40)^13-2/3*E(40)^16-1/3*E(40)^21+1/3*E(40)^23-2/3*E(40)^24-1/3*E(40)^29+1/3*E(40)^31-5/6*E(40)^32-1/3*E(40)^37+1/3*E(40)^39	true	true	+1	+1	even:mirror;odd:mirror	2880	2880	{+1}	R5-similar=yes;R3-congruent=no(lambda<>1);proper	odd	odd	1	2880
L3-{5,3,5/2}-2	L3-{5,3,5/2}-1	(240,480,120,20)	-88/3*E(40)^7-125/3*E(40)^8+88/3*E(40)^13-317/3*E(40)^16+224/3*E(40)^21-88/3*E(40)^23-317/3*E(40)^24+224/3*E(40)^29-224/3*E(40)^31-125/3*E(40)^32+88/3*E(40)^37-224/3*E(40)^39	false	false	+1	+1	none	2880	0	{}	R5-similar=no;R3-congruent=no	none	none	0	2880
L3-{5,3,5/2}-2	L3-{5,3,5/2}-2	(240,480,120,20)	1	true	true	+1	+1	even:same;odd:same	2880	2880	{+1}	R5-similar=yes;R3-congruent=yes;proper	even	even	1	2880
L3-{5,3,5/2}-2	L3-{5,3,5/2}-3	(240,480,120,20)	-1/3*E(40)^7-5/6*E(40)^8+1/3*E(40)^13-2/3*E(40)^16+1/3*E(40)^21-1/3*E(40)^23-2/3*E(40)^24+1/3*E(40)^29-1/3*E(40)^31-5/6*E(40)^32+1/3*E(40)^37-1/3*E(40)^39	true	true	+1	+1	even:mirror;odd:mirror	2880	2880	{+1}	R5-similar=yes;R3-congruent=no(lambda<>1);proper	odd	odd	1	2880
L3-{5,3,5/2}-2	L3-{5,3,5/2}-4	(240,480,120,20)	-3*E(40)^7-9/2*E(40)^8+3*E(40)^13-10*E(40)^16+7*E(40)^21-3*E(40)^23-10*E(40)^24+7*E(40)^29-7*E(40)^31-9/2*E(40)^32+3*E(40)^37-7*E(40)^39	false	false	+1	+1	none	2880	0	{}	R5-similar=no;R3-congruent=no	none	none	0	2880
L3-{5,3,5/2}-3	L3-{5,3,5/2}-1	(240,480,120,20)	-28*E(40)^7-40*E(40)^8+28*E(40)^13-102*E(40)^16+72*E(40)^21-28*E(40)^23-102*E(40)^24+72*E(40)^29-72*E(40)^31-40*E(40)^32+28*E(40)^37-72*E(40)^39	false	false	+1	+1	none	2880	0	{}	R5-similar=no;R3-congruent=no	none	none	0	2880
L3-{5,3,5/2}-3	L3-{5,3,5/2}-2	(240,480,120,20)	4/3*E(40)^7-8/3*E(40)^8-4/3*E(40)^13-14/3*E(40)^16-8/3*E(40)^21+4/3*E(40)^23-14/3*E(40)^24-8/3*E(40)^29+8/3*E(40)^31-8/3*E(40)^32-4/3*E(40)^37+8/3*E(40)^39	true	true	+1	+1	even:mirror;odd:mirror	2880	2880	{+1}	R5-similar=yes;R3-congruent=no(lambda<>1);proper	odd	odd	1	2880
L3-{5,3,5/2}-3	L3-{5,3,5/2}-3	(240,480,120,20)	1	true	true	+1	+1	even:same;odd:same	2880	2880	{+1}	R5-similar=yes;R3-congruent=yes;proper	even	even	1	2880
L3-{5,3,5/2}-3	L3-{5,3,5/2}-4	(240,480,120,20)	-8/3*E(40)^7-13/3*E(40)^8+8/3*E(40)^13-29/3*E(40)^16+20/3*E(40)^21-8/3*E(40)^23-29/3*E(40)^24+20/3*E(40)^29-20/3*E(40)^31-13/3*E(40)^32+8/3*E(40)^37-20/3*E(40)^39	false	false	+1	+1	none	2880	0	{}	R5-similar=no;R3-congruent=no	none	none	0	2880
L3-{5,3,5/2}-4	L3-{5,3,5/2}-1	(240,480,120,20)	-4/3*E(40)^7-8/3*E(40)^8+4/3*E(40)^13-14/3*E(40)^16+8/3*E(40)^21-4/3*E(40)^23-14/3*E(40)^24+8/3*E(40)^29-8/3*E(40)^31-8/3*E(40)^32+4/3*E(40)^37-8/3*E(40)^39	true	true	+1	+1	even:mirror;odd:mirror	2880	2880	{+1}	R5-similar=yes;R3-congruent=no(lambda<>1);proper	odd	odd	1	2880
L3-{5,3,5/2}-4	L3-{5,3,5/2}-2	(240,480,120,20)	28*E(40)^7-40*E(40)^8-28*E(40)^13-102*E(40)^16-72*E(40)^21+28*E(40)^23-102*E(40)^24-72*E(40)^29+72*E(40)^31-40*E(40)^32-28*E(40)^37+72*E(40)^39	false	false	+1	+1	none	2880	0	{}	R5-similar=no;R3-congruent=no	none	none	0	2880
L3-{5,3,5/2}-4	L3-{5,3,5/2}-3	(240,480,120,20)	8/3*E(40)^7-13/3*E(40)^8-8/3*E(40)^13-29/3*E(40)^16-20/3*E(40)^21+8/3*E(40)^23-29/3*E(40)^24-20/3*E(40)^29+20/3*E(40)^31-13/3*E(40)^32-8/3*E(40)^37+20/3*E(40)^39	false	false	+1	+1	none	2880	0	{}	R5-similar=no;R3-congruent=no	none	none	0	2880
L3-{5,3,5/2}-4	L3-{5,3,5/2}-4	(240,480,120,20)	1	true	true	+1	+1	even:same;odd:same	2880	2880	{+1}	R5-similar=yes;R3-congruent=yes;proper	even	even	1	2880
L3-{5,3,5/2}-5	L3-{5,3,5/2}-5	(48,144,48,8)	1	true	true	+1	+1	even:same;odd:same	2304	1152	{+1}	R5-similar=yes;R3-congruent=yes;proper	even	even	1	1152
L3-{5,3,5/2}-5	L3-{5,3,5/2}-6	(48,144,48,8)	8/3*E(40)^7-13/3*E(40)^8-8/3*E(40)^13-29/3*E(40)^16-20/3*E(40)^21+8/3*E(40)^23-29/3*E(40)^24-20/3*E(40)^29+20/3*E(40)^31-13/3*E(40)^32-8/3*E(40)^37+20/3*E(40)^39	false	false	+1	+1	none	2304	0	{}	R5-similar=no;R3-congruent=no	none	none	0	1152
L3-{5,3,5/2}-5	L3-{5,3,5/2}-7	(48,144,48,8)	-3*E(40)^8-4*E(40)^16-2*E(40)^21-4*E(40)^24-2*E(40)^29+2*E(40)^31-3*E(40)^32+2*E(40)^39	false	false	+1	+1	none	2304	0	{}	R5-similar=no;R3-congruent=no	none	none	0	1152
