case_a	case_b	T_a	T_b	fvector	eq_raw_unoriented	eq_raw_oriented	eq_scalefree_unoriented	eq_scalefree_oriented	lambda	lambda_float	det_sign_M	M_verified	same_vertex_set	same_structure	n_sim_fixing_w	sim_det_signs	n_gram_compatible
L3-{5,3,5/2}-6	L3-{5,3,5/2}-7	{5,3,5/2}	{5,3,5/2}	(48,144,48,8)	no	no	yes	yes	4/3+2/3*E(40)+2/3*E(40)^3-4/3*E(40)^5-2/3*E(40)^7-E(40)^8+2/3*E(40)^9+E(40)^12+2/3*E(40)^15	0.355178335600	+1	yes	no	no	24	+	48
L3-{5,3,5/2}-6	L3-{5,3,5/2}-8	{5,3,5/2}	{5,3,5/2}	(48,144,48,8)	no	no	no	no	4-2*E(40)-2*E(40)^3+2*E(40)^7+E(40)^8-2*E(40)^9-E(40)^12+2*E(40)^15	0.041542766208	-	-	no	no	0	none	0
L3-{5,3,5/2}-7	L3-{5,3,5/2}-8	{5,3,5/2}	{5,3,5/2}	(48,144,48,8)	no	no	no	no	13/3-8/3*E(40)-8/3*E(40)^3+4/3*E(40)^5+8/3*E(40)^7-8/3*E(40)^9+4/3*E(40)^15	0.116963119775	-	-	no	no	0	none	0
L3-{5,3,5/2}-9	L3-{5,3,5/2}-10	{5,3,5/2}	{5,3,5/2}	(120,720,300,50)	no	no	no	no	3	3.000000000000	-	-	no	no	0	none	0
L3-{5,3,5/2}-9	L3-{5,3,5/2}-11	{5,3,5/2}	{5,3,5/2}	(120,720,300,50)	no	no	no	no	2	2.000000000000	-	-	no	no	0	none	0
L3-{5,3,5/2}-9	L3-{5,3,5/2}-12	{5,3,5/2}	{5,3,5/2}	(120,720,300,50)	no	no	yes	yes	6/5	1.200000000000	+1	yes	no	no	60	+	120
L3-{5,3,5/2}-9	L3-{5,3,5/2}-13	{5,3,5/2}	{5,3,5/2}	(120,720,300,50)	no	no	no	no	3/4	0.750000000000	-	-	no	no	0	none	0
L3-{5,3,5/2}-9	L3-{5,3,5/2}-14	{5,3,5/2}	{5,3,5/2}	(120,720,300,50)	no	no	no	no	2-2*E(40)^8+2*E(40)^12	0.763932022500	-	-	no	no	0	none	0
L3-{5,3,5/2}-9	L3-{5,3,5/2}-15	{5,3,5/2}	{5,3,5/2}	(120,720,300,50)	no	no	no	no	30+18*E(40)^8-18*E(40)^12	41.124611797498	-	-	no	no	0	none	0
L3-{5,3,5/2}-9	L3-{5,3,5/2}-16	{5,3,5/2}	{5,3,5/2}	(120,720,300,50)	no	no	no	no	4	4.000000000000	-	-	no	no	0	none	0
L3-{5,3,5/2}-10	L3-{5,3,5/2}-11	{5,3,5/2}	{5,3,5/2}	(120,720,300,50)	no	no	yes	yes	2/3	0.666666666667	+1	yes	no	no	60	+	120
L3-{5,3,5/2}-10	L3-{5,3,5/2}-12	{5,3,5/2}	{5,3,5/2}	(120,720,300,50)	no	no	no	no	2/5	0.400000000000	-	-	no	no	0	none	0
L3-{5,3,5/2}-10	L3-{5,3,5/2}-13	{5,3,5/2}	{5,3,5/2}	(120,720,300,50)	no	no	no	no	1/4	0.250000000000	-	-	no	no	0	none	0
L3-{5,3,5/2}-10	L3-{5,3,5/2}-14	{5,3,5/2}	{5,3,5/2}	(120,720,300,50)	no	no	no	no	2/3-2/3*E(40)^8+2/3*E(40)^12	0.254644007500	-	-	no	no	0	none	0
L3-{5,3,5/2}-10	L3-{5,3,5/2}-15	{5,3,5/2}	{5,3,5/2}	(120,720,300,50)	no	no	no	no	10+6*E(40)^8-6*E(40)^12	13.708203932499	-	-	no	no	0	none	0
L3-{5,3,5/2}-10	L3-{5,3,5/2}-16	{5,3,5/2}	{5,3,5/2}	(120,720,300,50)	no	no	no	no	4/3	1.333333333333	-	-	no	no	0	none	0
L3-{5,3,5/2}-11	L3-{5,3,5/2}-12	{5,3,5/2}	{5,3,5/2}	(120,720,300,50)	no	no	no	no	3/5	0.600000000000	-	-	no	no	0	none	0
L3-{5,3,5/2}-11	L3-{5,3,5/2}-13	{5,3,5/2}	{5,3,5/2}	(120,720,300,50)	no	no	no	no	3/8	0.375000000000	-	-	no	no	0	none	0
L3-{5,3,5/2}-11	L3-{5,3,5/2}-14	{5,3,5/2}	{5,3,5/2}	(120,720,300,50)	no	no	no	no	1-E(40)^8+E(40)^12	0.381966011250	-	-	no	no	0	none	0
L3-{5,3,5/2}-11	L3-{5,3,5/2}-15	{5,3,5/2}	{5,3,5/2}	(120,720,300,50)	no	no	no	no	15+9*E(40)^8-9*E(40)^12	20.562305898749	-	-	no	no	0	none	0
L3-{5,3,5/2}-11	L3-{5,3,5/2}-16	{5,3,5/2}	{5,3,5/2}	(120,720,300,50)	no	no	no	no	2	2.000000000000	-	-	no	no	0	none	0
L3-{5,3,5/2}-12	L3-{5,3,5/2}-13	{5,3,5/2}	{5,3,5/2}	(120,720,300,50)	no	no	no	no	5/8	0.625000000000	-	-	no	no	0	none	0
L3-{5,3,5/2}-12	L3-{5,3,5/2}-14	{5,3,5/2}	{5,3,5/2}	(120,720,300,50)	no	no	no	no	5/3-5/3*E(40)^8+5/3*E(40)^12	0.636610018750	-	-	no	no	0	none	0
L3-{5,3,5/2}-12	L3-{5,3,5/2}-15	{5,3,5/2}	{5,3,5/2}	(120,720,300,50)	no	no	no	no	25+15*E(40)^8-15*E(40)^12	34.270509831248	-	-	no	no	0	none	0
L3-{5,3,5/2}-12	L3-{5,3,5/2}-16	{5,3,5/2}	{5,3,5/2}	(120,720,300,50)	no	no	no	no	10/3	3.333333333333	-	-	no	no	0	none	0
L3-{5,3,5/2}-13	L3-{5,3,5/2}-14	{5,3,5/2}	{5,3,5/2}	(120,720,300,50)	no	no	yes	yes	8/3-8/3*E(40)^8+8/3*E(40)^12	1.018576030000	+1	yes	no	no	60	+	120
L3-{5,3,5/2}-13	L3-{5,3,5/2}-15	{5,3,5/2}	{5,3,5/2}	(120,720,300,50)	no	no	no	no	40+24*E(40)^8-24*E(40)^12	54.832815729997	-	-	no	no	0	none	0
L3-{5,3,5/2}-13	L3-{5,3,5/2}-16	{5,3,5/2}	{5,3,5/2}	(120,720,300,50)	no	no	no	no	16/3	5.333333333333	-	-	no	no	0	none	0
L3-{5,3,5/2}-14	L3-{5,3,5/2}-15	{5,3,5/2}	{5,3,5/2}	(120,720,300,50)	no	no	no	no	39+24*E(40)^8-24*E(40)^12	53.832815729997	-	-	no	no	0	none	0
L3-{5,3,5/2}-14	L3-{5,3,5/2}-16	{5,3,5/2}	{5,3,5/2}	(120,720,300,50)	no	no	no	no	4+2*E(40)^8-2*E(40)^12	5.236067977500	-	-	no	no	0	none	0
L3-{5,3,5/2}-15	L3-{5,3,5/2}-16	{5,3,5/2}	{5,3,5/2}	(120,720,300,50)	no	no	yes	yes	4/3-2*E(40)^8+2*E(40)^12	0.097265355834	+1	yes	no	no	60	+	120
L3-{3,3,5/2}-1	L3-{3,3,5/2}-4	{3,3,5/2}	{3,3,5/2}	(600,1200,120,5)	no	no	yes	yes	2	2.000000000000	+1	yes	no	no	12	+	24
