case_a	case_b	candidate	lambda_json	lambda_exact_powerbasis	lambda_float	isometry	lambda_ok	lambda_real	M_real	MMt_ok	det_json	det_exact_powerbasis	det_sign_json	det_sign_computed	det_ok	det_matches_json	vertices_onto	edges_onto	faces_onto	cells_onto	w_maps_to_w	image_flag_orbit_json	image_flag_orbit_computed	flag_orbit_agrees	flag_image_kind	flag_image_agrees	anchor_images_agree	M_in_Gamma_b	represents_own_coset_json	triple_orientation_json	all_ok
L3-{5,3,5/2}-3	L3-{5,3,5/2}-2	odd	4/3*E(40)^7-8/3*E(40)^8-4/3*E(40)^13-14/3*E(40)^16-8/3*E(40)^21+4/3*E(40)^23-14/3*E(40)^24-8/3*E(40)^29+8/3*E(40)^31-8/3*E(40)^32-4/3*E(40)^37+8/3*E(40)^39	14/3+4/3*E(40)+4/3*E(40)^3+4/3*E(40)^5-4/3*E(40)^7+2*E(40)^8+4/3*E(40)^9-2*E(40)^12-8/3*E(40)^15	10.839347	False	True	True	True	True	112/9*E(40)^7-164/9*E(40)^8-112/9*E(40)^13-392/9*E(40)^16-272/9*E(40)^21+112/9*E(40)^23-392/9*E(40)^24-272/9*E(40)^29+272/9*E(40)^31-164/9*E(40)^32-112/9*E(40)^37+272/9*E(40)^39	392/9+160/9*E(40)+160/9*E(40)^3+112/9*E(40)^5-160/9*E(40)^7+76/3*E(40)^8+160/9*E(40)^9-76/3*E(40)^12-272/9*E(40)^15	1	1	True	True	True	True	True	True	True	odd	odd	True	2-adjacent(w,e,fS2,c)	True	True	n/a	True	mirror	True
L3-{5,3,5/2}-2	L3-{5,3,5/2}-3	even	-1/3*E(40)^7-5/6*E(40)^8+1/3*E(40)^13-2/3*E(40)^16+1/3*E(40)^21-1/3*E(40)^23-2/3*E(40)^24+1/3*E(40)^29-1/3*E(40)^31-5/6*E(40)^32+1/3*E(40)^37-1/3*E(40)^39	2/3-1/3*E(40)^5-1/6*E(40)^8+1/6*E(40)^12+1/3*E(40)^15	0.092256	False	True	True	True	True	-5/9*E(40)^7-17/18*E(40)^8+5/9*E(40)^13-25/36*E(40)^16+4/9*E(40)^21-5/9*E(40)^23-25/36*E(40)^24+4/9*E(40)^29-4/9*E(40)^31-17/18*E(40)^32+5/9*E(40)^37-4/9*E(40)^39	25/36+1/9*E(40)+1/9*E(40)^3-5/9*E(40)^5-1/9*E(40)^7-1/4*E(40)^8+1/9*E(40)^9+1/4*E(40)^12+4/9*E(40)^15	1	1	True	True	True	True	True	True	True	odd	odd	True	base_flag_other_cell	True	True	n/a	False	mirror	True
L3-{5,3,5/2}-2	L3-{5,3,5/2}-3	odd	-1/3*E(40)^7-5/6*E(40)^8+1/3*E(40)^13-2/3*E(40)^16+1/3*E(40)^21-1/3*E(40)^23-2/3*E(40)^24+1/3*E(40)^29-1/3*E(40)^31-5/6*E(40)^32+1/3*E(40)^37-1/3*E(40)^39	2/3-1/3*E(40)^5-1/6*E(40)^8+1/6*E(40)^12+1/3*E(40)^15	0.092256	False	True	True	True	True	-5/9*E(40)^7-17/18*E(40)^8+5/9*E(40)^13-25/36*E(40)^16+4/9*E(40)^21-5/9*E(40)^23-25/36*E(40)^24+4/9*E(40)^29-4/9*E(40)^31-17/18*E(40)^32+5/9*E(40)^37-4/9*E(40)^39	25/36+1/9*E(40)+1/9*E(40)^3-5/9*E(40)^5-1/9*E(40)^7-1/4*E(40)^8+1/9*E(40)^9+1/4*E(40)^12+4/9*E(40)^15	1	1	True	True	True	True	True	True	True	odd	odd	True	2-adjacent(w,e,fS2,c)	True	True	n/a	True	mirror	True
L3-{5,3,5/2}-3	L3-{5,3,5/2}-3	even	1	1	1.000000	True	True	True	True	True	1	1	1	1	True	True	True	True	True	True	True	even	even	True	base_flag	True	True	True	True	same	True
L3-{5,3,5/2}-3	L3-{5,3,5/2}-3	odd	1	1	1.000000	True	True	True	True	True	1	1	1	1	True	True	True	True	True	True	True	even	even	True	2-adjacent_other_cell	True	True	True	False	same	True
L3-{5,3,5/2}-1	L3-{5,3,5/2}-4	even	1/3*E(40)^7-5/6*E(40)^8-1/3*E(40)^13-2/3*E(40)^16-1/3*E(40)^21+1/3*E(40)^23-2/3*E(40)^24-1/3*E(40)^29+1/3*E(40)^31-5/6*E(40)^32-1/3*E(40)^37+1/3*E(40)^39	2/3+1/3*E(40)^5-1/6*E(40)^8+1/6*E(40)^12-1/3*E(40)^15	1.035066	False	True	True	True	True	5/9*E(40)^7-17/18*E(40)^8-5/9*E(40)^13-25/36*E(40)^16-4/9*E(40)^21+5/9*E(40)^23-25/36*E(40)^24-4/9*E(40)^29+4/9*E(40)^31-17/18*E(40)^32-5/9*E(40)^37+4/9*E(40)^39	25/36-1/9*E(40)-1/9*E(40)^3+5/9*E(40)^5+1/9*E(40)^7-1/4*E(40)^8-1/9*E(40)^9+1/4*E(40)^12-4/9*E(40)^15	1	1	True	True	True	True	True	True	True	odd	odd	True	base_flag_other_cell	True	True	n/a	False	mirror	True
L3-{5,3,5/2}-1	L3-{5,3,5/2}-4	odd	1/3*E(40)^7-5/6*E(40)^8-1/3*E(40)^13-2/3*E(40)^16-1/3*E(40)^21+1/3*E(40)^23-2/3*E(40)^24-1/3*E(40)^29+1/3*E(40)^31-5/6*E(40)^32-1/3*E(40)^37+1/3*E(40)^39	2/3+1/3*E(40)^5-1/6*E(40)^8+1/6*E(40)^12-1/3*E(40)^15	1.035066	False	True	True	True	True	5/9*E(40)^7-17/18*E(40)^8-5/9*E(40)^13-25/36*E(40)^16-4/9*E(40)^21+5/9*E(40)^23-25/36*E(40)^24-4/9*E(40)^29+4/9*E(40)^31-17/18*E(40)^32-5/9*E(40)^37+4/9*E(40)^39	25/36-1/9*E(40)-1/9*E(40)^3+5/9*E(40)^5+1/9*E(40)^7-1/4*E(40)^8-1/9*E(40)^9+1/4*E(40)^12-4/9*E(40)^15	1	1	True	True	True	True	True	True	True	odd	odd	True	2-adjacent(w,e,fS2,c)	True	True	n/a	True	mirror	True
L3-{5,3,5/2}-4	L3-{5,3,5/2}-4	even	1	1	1.000000	True	True	True	True	True	1	1	1	1	True	True	True	True	True	True	True	even	even	True	base_flag	True	True	True	True	same	True
L3-{5,3,5/2}-4	L3-{5,3,5/2}-4	odd	1	1	1.000000	True	True	True	True	True	1	1	1	1	True	True	True	True	True	True	True	even	even	True	2-adjacent_other_cell	True	True	True	False	same	True
L3-{5,3,5/2}-5	L3-{5,3,5/2}-5	even	1	1	1.000000	True	True	True	True	True	1	1	1	1	True	True	True	True	True	True	True	even	even	True	base_flag	True	True	True	True	same	True
