case_a	case_b	candidate	lambda_json	lambda_exact_powerbasis	lambda_float	isometry	lambda_ok	lambda_real	M_real	MMt_ok	det_json	det_exact_powerbasis	det_sign_json	det_sign_computed	det_ok	det_matches_json	vertices_onto	edges_onto	faces_onto	cells_onto	w_maps_to_w	image_flag_orbit_json	image_flag_orbit_computed	flag_orbit_agrees	flag_image_kind	flag_image_agrees	anchor_images_agree	M_in_Gamma_b	represents_own_coset_json	triple_orientation_json	all_ok
L3-{5,3,5/2}-7	L3-{5,3,5/2}-7	odd	1	1	1.000000	True	True	True	True	True	1	1	1	1	True	True	True	True	True	True	True	even	even	True	2-adjacent_other_cell	True	True	True	False	same	True
L3-{5,3,5/2}-5	L3-{5,3,5/2}-8	even	4/3*E(40)^7-7/3*E(40)^8-4/3*E(40)^13-4/3*E(40)^16-2/3*E(40)^21+4/3*E(40)^23-4/3*E(40)^24-2/3*E(40)^29+2/3*E(40)^31-7/3*E(40)^32-4/3*E(40)^37+2/3*E(40)^39	4/3-2/3*E(40)-2/3*E(40)^3+4/3*E(40)^5+2/3*E(40)^7-E(40)^8-2/3*E(40)^9+E(40)^12-2/3*E(40)^15	1.075420	False	True	True	True	True	68/9*E(40)^7-98/9*E(40)^8-68/9*E(40)^13-41/9*E(40)^16-28/9*E(40)^21+68/9*E(40)^23-41/9*E(40)^24-28/9*E(40)^29+28/9*E(40)^31-98/9*E(40)^32-68/9*E(40)^37+28/9*E(40)^39	41/9-40/9*E(40)-40/9*E(40)^3+68/9*E(40)^5+40/9*E(40)^7-19/3*E(40)^8-40/9*E(40)^9+19/3*E(40)^12-28/9*E(40)^15	1	1	True	True	True	True	True	True	True	odd	odd	True	base_flag_other_cell	True	True	n/a	False	mirror	True
L3-{5,3,5/2}-5	L3-{5,3,5/2}-8	odd	4/3*E(40)^7-7/3*E(40)^8-4/3*E(40)^13-4/3*E(40)^16-2/3*E(40)^21+4/3*E(40)^23-4/3*E(40)^24-2/3*E(40)^29+2/3*E(40)^31-7/3*E(40)^32-4/3*E(40)^37+2/3*E(40)^39	4/3-2/3*E(40)-2/3*E(40)^3+4/3*E(40)^5+2/3*E(40)^7-E(40)^8-2/3*E(40)^9+E(40)^12-2/3*E(40)^15	1.075420	False	True	True	True	True	68/9*E(40)^7-98/9*E(40)^8-68/9*E(40)^13-41/9*E(40)^16-28/9*E(40)^21+68/9*E(40)^23-41/9*E(40)^24-28/9*E(40)^29+28/9*E(40)^31-98/9*E(40)^32-68/9*E(40)^37+28/9*E(40)^39	41/9-40/9*E(40)-40/9*E(40)^3+68/9*E(40)^5+40/9*E(40)^7-19/3*E(40)^8-40/9*E(40)^9+19/3*E(40)^12-28/9*E(40)^15	1	1	True	True	True	True	True	True	True	odd	odd	True	2-adjacent(w,e,fS2,c)	True	True	n/a	True	mirror	True
L3-{5,3,5/2}-8	L3-{5,3,5/2}-8	even	1	1	1.000000	True	True	True	True	True	1	1	1	1	True	True	True	True	True	True	True	even	even	True	base_flag	True	True	True	True	same	True
L3-{5,3,5/2}-8	L3-{5,3,5/2}-8	odd	1	1	1.000000	True	True	True	True	True	1	1	1	1	True	True	True	True	True	True	True	even	even	True	2-adjacent_other_cell	True	True	True	False	same	True
L3-{5,3,5/2}-9	L3-{5,3,5/2}-9	even	1	1	1.000000	True	True	True	True	True	1	1	1	1	True	True	True	True	True	True	True	even	even	True	base_flag	True	True	True	True	same	True
L3-{5,3,5/2}-9	L3-{5,3,5/2}-9	odd	1	1	1.000000	True	True	True	True	True	1	1	1	1	True	True	True	True	True	True	True	even	even	True	2-adjacent_other_cell	True	True	True	False	same	True
L3-{5,3,5/2}-12	L3-{5,3,5/2}-9	even	5/6	5/6	0.833333	False	True	True	True	True	25/36	25/36	1	1	True	True	True	True	True	True	True	odd	odd	True	base_flag_other_cell	True	True	n/a	False	mirror	True
L3-{5,3,5/2}-12	L3-{5,3,5/2}-9	odd	5/6	5/6	0.833333	False	True	True	True	True	25/36	25/36	1	1	True	True	True	True	True	True	True	odd	odd	True	2-adjacent(w,e,fS2,c)	True	True	n/a	True	mirror	True
L3-{5,3,5/2}-10	L3-{5,3,5/2}-10	even	1	1	1.000000	True	True	True	True	True	1	1	1	1	True	True	True	True	True	True	True	even	even	True	base_flag	True	True	True	True	same	True
L3-{5,3,5/2}-10	L3-{5,3,5/2}-10	odd	1	1	1.000000	True	True	True	True	True	1	1	1	1	True	True	True	True	True	True	True	even	even	True	2-adjacent_other_cell	True	True	True	False	same	True
L3-{5,3,5/2}-11	L3-{5,3,5/2}-10	even	3/2	3/2	1.500000	False	True	True	True	True	9/4	9/4	1	1	True	True	True	True	True	True	True	odd	odd	True	base_flag_other_cell	True	True	n/a	False	mirror	True
L3-{5,3,5/2}-11	L3-{5,3,5/2}-10	odd	3/2	3/2	1.500000	False	True	True	True	True	9/4	9/4	1	1	True	True	True	True	True	True	True	odd	odd	True	2-adjacent(w,e,fS2,c)	True	True	n/a	True	mirror	True
L3-{5,3,5/2}-10	L3-{5,3,5/2}-11	even	2/3	2/3	0.666667	False	True	True	True	True	4/9	4/9	1	1	True	True	True	True	True	True	True	odd	odd	True	base_flag_other_cell	True	True	n/a	False	mirror	True
L3-{5,3,5/2}-10	L3-{5,3,5/2}-11	odd	2/3	2/3	0.666667	False	True	True	True	True	4/9	4/9	1	1	True	True	True	True	True	True	True	odd	odd	True	2-adjacent(w,e,fS2,c)	True	True	n/a	True	mirror	True
L3-{5,3,5/2}-11	L3-{5,3,5/2}-11	even	1	1	1.000000	True	True	True	True	True	1	1	1	1	True	True	True	True	True	True	True	even	even	True	base_flag	True	True	True	True	same	True
L3-{5,3,5/2}-11	L3-{5,3,5/2}-11	odd	1	1	1.000000	True	True	True	True	True	1	1	1	1	True	True	True	True	True	True	True	even	even	True	2-adjacent_other_cell	True	True	True	False	same	True
L3-{5,3,5/2}-9	L3-{5,3,5/2}-12	even	6/5	6/5	1.200000	False	True	True	True	True	36/25	36/25	1	1	True	True	True	True	True	True	True	odd	odd	True	base_flag_other_cell	True	True	n/a	False	mirror	True
L3-{5,3,5/2}-9	L3-{5,3,5/2}-12	odd	6/5	6/5	1.200000	False	True	True	True	True	36/25	36/25	1	1	True	True	True	True	True	True	True	odd	odd	True	2-adjacent(w,e,fS2,c)	True	True	n/a	True	mirror	True
L3-{5,3,5/2}-12	L3-{5,3,5/2}-12	even	1	1	1.000000	True	True	True	True	True	1	1	1	1	True	True	True	True	True	True	True	even	even	True	base_flag	True	True	True	True	same	True
L3-{5,3,5/2}-12	L3-{5,3,5/2}-12	odd	1	1	1.000000	True	True	True	True	True	1	1	1	1	True	True	True	True	True	True	True	even	even	True	2-adjacent_other_cell	True	True	True	False	same	True
L3-{5,3,5/2}-13	L3-{5,3,5/2}-13	even	1	1	1.000000	True	True	True	True	True	1	1	1	1	True	True	True	True	True	True	True	even	even	True	base_flag	True	True	True	True	same	True
L3-{5,3,5/2}-13	L3-{5,3,5/2}-13	odd	1	1	1.000000	True	True	True	True	True	1	1	1	1	True	True	True	True	True	True	True	even	even	True	2-adjacent_other_cell	True	True	True	False	same	True
L3-{5,3,5/2}-14	L3-{5,3,5/2}-13	even	-3/8*E(5)-3/4*E(5)^2-3/4*E(5)^3-3/8*E(5)^4	3/4+3/8*E(40)^8-3/8*E(40)^12	0.981763	False	True	True	True	True	-9/32*E(5)-45/64*E(5)^2-45/64*E(5)^3-9/32*E(5)^4	45/64+27/64*E(40)^8-27/64*E(40)^12	1	1	True	True	True	True	True	True	True	odd	odd	True	base_flag_other_cell	True	True	n/a	False	mirror	True
L3-{5,3,5/2}-14	L3-{5,3,5/2}-13	odd	-3/8*E(5)-3/4*E(5)^2-3/4*E(5)^3-3/8*E(5)^4	3/4+3/8*E(40)^8-3/8*E(40)^12	0.981763	False	True	True	True	True	-9/32*E(5)-45/64*E(5)^2-45/64*E(5)^3-9/32*E(5)^4	45/64+27/64*E(40)^8-27/64*E(40)^12	1	1	True	True	True	True	True	True	True	odd	odd	True	2-adjacent(w,e,fS2,c)	True	True	n/a	True	mirror	True
L3-{5,3,5/2}-13	L3-{5,3,5/2}-14	even	-16/3*E(5)-8/3*E(5)^2-8/3*E(5)^3-16/3*E(5)^4	8/3-8/3*E(40)^8+8/3*E(40)^12	1.018576	False	True	True	True	True	-320/9*E(5)-128/9*E(5)^2-128/9*E(5)^3-320/9*E(5)^4	128/9-64/3*E(40)^8+64/3*E(40)^12	1	1	True	True	True	True	True	True	True	odd	odd	True	base_flag_other_cell	True	True	n/a	False	mirror	True
L3-{5,3,5/2}-13	L3-{5,3,5/2}-14	odd	-16/3*E(5)-8/3*E(5)^2-8/3*E(5)^3-16/3*E(5)^4	8/3-8/3*E(40)^8+8/3*E(40)^12	1.018576	False	True	True	True	True	-320/9*E(5)-128/9*E(5)^2-128/9*E(5)^3-320/9*E(5)^4	128/9-64/3*E(40)^8+64/3*E(40)^12	1	1	True	True	True	True	True	True	True	odd	odd	True	2-adjacent(w,e,fS2,c)	True	True	n/a	True	mirror	True
L3-{5,3,5/2}-14	L3-{5,3,5/2}-14	even	1	1	1.000000	True	True	True	True	True	1	1	1	1	True	True	True	True	True	True	True	even	even	True	base_flag	True	True	True	True	same	True
L3-{5,3,5/2}-14	L3-{5,3,5/2}-14	odd	1	1	1.000000	True	True	True	True	True	1	1	1	1	True	True	True	True	True	True	True	even	even	True	2-adjacent_other_cell	True	True	True	False	same	True
L3-{5,3,5/2}-15	L3-{5,3,5/2}-15	even	1	1	1.000000	True	True	True	True	True	1	1	1	1	True	True	True	True	True	True	True	even	even	True	base_flag	True	True	True	True	same	True
L3-{5,3,5/2}-15	L3-{5,3,5/2}-15	odd	1	1	1.000000	True	True	True	True	True	1	1	1	1	True	True	True	True	True	True	True	even	even	True	2-adjacent_other_cell	True	True	True	False	same	True
L3-{5,3,5/2}-16	L3-{5,3,5/2}-15	even	-3*E(5)-15/2*E(5)^2-15/2*E(5)^3-3*E(5)^4	15/2+9/2*E(40)^8-9/2*E(40)^12	10.281153	False	True	True	True	True	-117/4*E(5)-153/2*E(5)^2-153/2*E(5)^3-117/4*E(5)^4	153/2+189/4*E(40)^8-189/4*E(40)^12	1	1	True	True	True	True	True	True	True	odd	odd	True	base_flag_other_cell	True	True	n/a	False	mirror	True
L3-{5,3,5/2}-16	L3-{5,3,5/2}-15	odd	-3*E(5)-15/2*E(5)^2-15/2*E(5)^3-3*E(5)^4	15/2+9/2*E(40)^8-9/2*E(40)^12	10.281153	False	True	True	True	True	-117/4*E(5)-153/2*E(5)^2-153/2*E(5)^3-117/4*E(5)^4	153/2+189/4*E(40)^8-189/4*E(40)^12	1	1	True	True	True	True	True	True	True	odd	odd	True	2-adjacent(w,e,fS2,c)	True	True	n/a	True	mirror	True
L3-{5,3,5/2}-15	L3-{5,3,5/2}-16	even	-10/3*E(5)-4/3*E(5)^2-4/3*E(5)^3-10/3*E(5)^4	4/3-2*E(40)^8+2*E(40)^12	0.097265	False	True	True	True	True	-136/9*E(5)-52/9*E(5)^2-52/9*E(5)^3-136/9*E(5)^4	52/9-28/3*E(40)^8+28/3*E(40)^12	1	1	True	True	True	True	True	True	True	odd	odd	True	base_flag_other_cell	True	True	n/a	False	mirror	True
L3-{5,3,5/2}-15	L3-{5,3,5/2}-16	odd	-10/3*E(5)-4/3*E(5)^2-4/3*E(5)^3-10/3*E(5)^4	4/3-2*E(40)^8+2*E(40)^12	0.097265	False	True	True	True	True	-136/9*E(5)-52/9*E(5)^2-52/9*E(5)^3-136/9*E(5)^4	52/9-28/3*E(40)^8+28/3*E(40)^12	1	1	True	True	True	True	True	True	True	odd	odd	True	2-adjacent(w,e,fS2,c)	True	True	n/a	True	mirror	True
L3-{5,3,5/2}-16	L3-{5,3,5/2}-16	even	1	1	1.000000	True	True	True	True	True	1	1	1	1	True	True	True	True	True	True	True	even	even	True	base_flag	True	True	True	True	same	True
L3-{5,3,5/2}-16	L3-{5,3,5/2}-16	odd	1	1	1.000000	True	True	True	True	True	1	1	1	1	True	True	True	True	True	True	True	even	even	True	2-adjacent_other_cell	True	True	True	False	same	True
L3-{3,3,5/2}-1	L3-{3,3,5/2}-1	even	1	1	1.000000	True	True	True	True	True	1	1	1	1	True	True	True	True	True	True	True	even	even	True	base_flag	True	True	True	True	same	True
L3-{3,3,5/2}-1	L3-{3,3,5/2}-1	odd	1	1	1.000000	True	True	True	True	True	1	1	1	1	True	True	True	True	True	True	True	even	even	True	2-adjacent_other_cell	True	True	True	False	same	True
L3-{3,3,5/2}-4	L3-{3,3,5/2}-1	even	1/2	1/2	0.500000	False	True	True	True	True	1/4	1/4	1	1	True	True	True	True	True	True	True	odd	odd	True	base_flag_other_cell	True	True	n/a	False	mirror	True
L3-{3,3,5/2}-4	L3-{3,3,5/2}-1	odd	1/2	1/2	0.500000	False	True	True	True	True	1/4	1/4	1	1	True	True	True	True	True	True	True	odd	odd	True	2-adjacent(w,e,fS2,c)	True	True	n/a	True	mirror	True
L3-{3,3,5/2}-1	L3-{3,3,5/2}-4	even	2	2	2.000000	False	True	True	True	True	4	4	1	1	True	True	True	True	True	True	True	odd	odd	True	base_flag_other_cell	True	True	n/a	False	mirror	True
L3-{3,3,5/2}-1	L3-{3,3,5/2}-4	odd	2	2	2.000000	False	True	True	True	True	4	4	1	1	True	True	True	True	True	True	True	odd	odd	True	2-adjacent(w,e,fS2,c)	True	True	n/a	True	mirror	True
L3-{3,3,5/2}-4	L3-{3,3,5/2}-4	even	1	1	1.000000	True	True	True	True	True	1	1	1	1	True	True	True	True	True	True	True	even	even	True	base_flag	True	True	True	True	same	True
L3-{3,3,5/2}-4	L3-{3,3,5/2}-4	odd	1	1	1.000000	True	True	True	True	True	1	1	1	1	True	True	True	True	True	True	True	even	even	True	2-adjacent_other_cell	True	True	True	False	same	True
